Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.597000   -0.05    0.08    0.15
0.598000   -0.05    0.08    0.15
0.599000   -0.06    0.06    0.14
0.600000   -0.06    0.06    0.15
0.601000   -0.07    0.05    0.14
0.602000   -0.07    0.04    0.13
0.603000   -0.07    0.03    0.12
0.604000   -0.07    0.02    0.12
0.605000   -0.07    0.02    0.11
0.606000   -0.07    0.02    0.11
0.607000   -0.07    0.01    0.11
0.608000   -0.07    0.00    0.09
0.609000   -0.06   -0.01    0.09
0.610000   -0.07   -0.01    0.09
0.611000   -0.06   -0.01    0.08
0.612000   -0.06   -0.02    0.07
0.613000   -0.06   -0.03    0.05
0.614000   -0.05   -0.04    0.03
0.615000   -0.04   -0.05    0.02
0.616000   -0.03   -0.05    0.01
0.617000   -0.03   -0.05    0.00
0.618000   -0.02   -0.06   -0.01
0.619000   -0.02   -0.06   -0.02
0.620000   -0.02   -0.05   -0.01
0.621000   -0.02   -0.04    0.01
0.622000   -0.02   -0.02    0.03
0.623000   -0.03   -0.01    0.04
0.624000   -0.03    0.00    0.05
0.625000   -0.04    0.01    0.07
0.626000   -0.06    0.02    0.10
0.627000   -0.08    0.02    0.12
0.628000   -0.09    0.03    0.13
0.629000   -0.08    0.04    0.14
0.630000   -0.08    0.03    0.14
0.631000   -0.07    0.03    0.11
0.632000   -0.05    0.02    0.09
0.633000   -0.03    0.02    0.08
0.634000   -0.02    0.03    0.07
0.635000   -0.01    0.03    0.06
0.636000   -0.00    0.03    0.06
0.637000    0.00    0.03    0.06
0.638000   -0.02    0.04    0.07
0.639000   -0.08   -0.01    0.09
0.640000   -0.20   -0.11    0.11
0.641000   -0.35   -0.24    0.14
0.642000   -0.50   -0.37    0.16
0.643000   -0.63   -0.49    0.18
0.644000   -0.76   -0.60    0.20
0.645000   -0.86   -0.68    0.21
0.646000   -0.95   -0.75    0.23
0.647000   -1.02   -0.81    0.25
0.648000   -1.09   -0.86    0.26
0.649000   -1.14   -0.91    0.27
0.650000   -1.19   -0.97    0.26
0.651000   -1.24   -1.02    0.25
0.652000   -1.28   -1.08    0.24
0.653000   -1.31   -1.12    0.22
0.654000   -1.32   -1.16    0.20
0.655000   -1.34   -1.19    0.19
0.656000   -1.35   -1.21    0.18
0.657000   -1.37   -1.23    0.18
0.658000   -1.39   -1.26    0.18
0.659000   -1.42   -1.28    0.17
0.660000   -1.43   -1.30    0.17
0.661000   -1.45   -1.32    0.17
0.662000   -1.47   -1.33    0.18
0.663000   -1.49   -1.34    0.19
0.664000   -1.50   -1.36    0.19
0.665000   -1.53   -1.39    0.18
0.666000   -1.55   -1.42    0.17
0.667000   -1.57   -1.44    0.17
0.668000   -1.59   -1.45    0.17
0.669000   -1.58   -1.47    0.16
0.670000   -1.59   -1.48    0.15
0.671000   -1.58   -1.49    0.14
0.672000   -1.58   -1.48    0.14
0.673000   -1.57   -1.47    0.15
0.674000   -1.57   -1.47    0.14
0.675000   -1.58   -1.47    0.15
0.676000   -1.58   -1.47    0.15
0.677000   -1.59   -1.48    0.16
0.678000   -1.59   -1.47    0.16
0.679000   -1.60   -1.47    0.16
0.680000   -1.59   -1.48    0.15
0.681000   -1.59   -1.49    0.13
0.682000   -1.58   -1.50    0.12
0.683000   -1.58   -1.51    0.11
0.684000   -1.58   -1.51    0.11
0.685000   -1.58   -1.52    0.10
0.686000   -1.58   -1.53    0.09
0.687000   -1.58   -1.53    0.08
0.688000   -1.57   -1.53    0.08
0.689000   -1.54   -1.52    0.07
0.690000   -1.53   -1.51    0.06
0.691000   -1.52   -1.51    0.05
0.692000   -1.51   -1.52    0.04
0.693000   -1.51   -1.53    0.02
0.694000   -1.51   -1.53    0.02
0.695000   -1.51   -1.53    0.03
0.696000   -1.52   -1.53    0.03
0.697000   -1.52   -1.53    0.04
0.698000   -1.53   -1.53    0.03
0.699000   -1.53   -1.54    0.02
0.700000   -1.52   -1.53    0.02
0.701000   -1.51   -1.52    0.03
0.702000   -1.51   -1.51    0.03
0.703000   -1.51   -1.51    0.04
0.704000   -1.52   -1.50    0.05
0.705000   -1.52   -1.48    0.07
0.706000   -1.52   -1.47    0.08
0.707000   -1.51   -1.47    0.08
0.708000   -1.50   -1.47    0.07
0.709000   -1.47   -1.46    0.05
0.710000   -1.46   -1.47    0.03
0.711000   -1.45   -1.47    0.02
0.712000   -1.44   -1.46    0.01
0.713000   -1.43   -1.45    0.01
0.714000   -1.41   -1.42    0.02
0.715000   -1.39   -1.39    0.03
0.716000   -1.38   -1.36    0.05
0.717000   -1.36   -1.32    0.06
0.718000   -1.33   -1.30    0.07
0.719000   -1.33   -1.28    0.08
0.720000   -1.32   -1.25    0.09
0.721000   -1.30   -1.23    0.10
0.722000   -1.29   -1.20    0.11
0.723000   -1.28   -1.19    0.11
0.724000   -1.26   -1.18    0.11
0.725000   -1.26   -1.17    0.11
0.726000   -1.25   -1.16    0.11
0.727000   -1.23   -1.14    0.11
0.728000   -1.22   -1.13    0.11
0.729000   -1.19   -1.10    0.11
0.730000   -1.18   -1.09    0.11
0.731000   -1.17   -1.08    0.12
0.732000   -1.16   -1.06    0.13
0.733000   -1.17   -1.04    0.15
0.734000   -1.17   -1.03    0.16
0.735000   -1.15   -1.01    0.17
0.736000   -1.13   -0.98    0.19
0.737000   -1.12   -0.96    0.19
0.738000   -1.11   -0.95    0.18
0.739000   -1.11   -0.95    0.18
0.740000   -1.10   -0.93    0.19
0.741000   -1.07   -0.90    0.20
0.742000   -1.05   -0.87    0.21
0.743000   -1.04   -0.85    0.21
0.744000   -1.02   -0.84    0.21
0.745000   -1.02   -0.84    0.21
0.746000   -1.01   -0.84    0.20
0.747000   -0.99   -0.83    0.19
0.748000   -0.98   -0.82    0.18
0.749000   -0.96   -0.82    0.17
0.750000   -0.94   -0.81    0.16
0.751000   -0.93   -0.80    0.17
