Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.462000    0.01    0.00    0.00
0.463000    0.02    0.00    0.00
0.464000    0.02   -0.00   -0.01
0.465000    0.02   -0.00   -0.01
0.466000    0.02   -0.00   -0.01
0.467000    0.02   -0.00    0.00
0.468000    0.02    0.00    0.00
0.469000    0.01   -0.00   -0.00
0.470000    0.01   -0.01    0.00
0.471000    0.01   -0.00    0.00
0.472000    0.02    0.00    0.00
0.473000    0.02    0.01    0.01
0.474000    0.03    0.02    0.01
0.475000    0.04    0.03    0.01
0.476000    0.05    0.04    0.00
0.477000    0.06    0.05    0.00
0.478000    0.07    0.06    0.00
0.479000    0.07    0.06   -0.00
0.480000    0.07    0.06    0.00
0.481000    0.07    0.05    0.00
0.482000    0.05    0.05    0.01
0.483000    0.04    0.04    0.01
0.484000    0.03    0.03    0.01
0.485000    0.03    0.03    0.01
0.486000    0.03    0.03    0.01
0.487000    0.01    0.02    0.01
0.488000    0.01    0.01    0.01
0.489000    0.02    0.01    0.00
0.490000    0.03    0.02    0.00
0.491000    0.04    0.03    0.00
0.492000    0.06    0.05    0.00
0.493000    0.08    0.06   -0.00
0.494000    0.09    0.07    0.00
0.495000    0.09    0.07    0.00
0.496000    0.09    0.08    0.00
0.497000    0.10    0.08   -0.00
0.498000    0.11    0.09    0.00
0.499000    0.11    0.10    0.00
0.500000    0.11    0.10    0.00
0.501000    0.10    0.09    0.00
0.502000    0.09    0.08    0.01
0.503000    0.08    0.07    0.01
0.504000    0.07    0.06    0.01
0.505000    0.07    0.06    0.00
0.506000    0.08    0.06    0.00
0.507000    0.08    0.06    0.00
0.508000    0.08    0.06    0.00
0.509000    0.08    0.05    0.00
0.510000    0.07    0.05    0.01
0.511000    0.06    0.06    0.01
0.512000    0.08    0.07    0.01
0.513000    0.08    0.07    0.01
0.514000    0.07    0.07    0.02
0.515000    0.07    0.07    0.02
0.516000    0.06    0.06    0.02
0.517000    0.05    0.06    0.03
0.518000    0.04    0.06    0.04
0.519000    0.05    0.07    0.03
0.520000    0.04    0.06    0.02
0.521000    0.04    0.05    0.03
0.522000    0.05    0.06    0.02
0.523000    0.06    0.07    0.02
0.524000    0.07    0.07    0.01
0.525000    0.08    0.08    0.01
0.526000    0.08    0.07    0.01
0.527000    0.08    0.08    0.01
0.528000    0.08    0.08    0.01
0.529000    0.09    0.09    0.01
0.530000    0.11    0.10    0.01
0.531000    0.11    0.11    0.01
0.532000    0.10    0.11    0.02
0.533000    0.09    0.10    0.02
0.534000    0.10    0.11    0.02
0.535000    0.11    0.12    0.02
0.536000    0.11    0.12    0.03
0.537000    0.10    0.11    0.03
0.538000    0.09    0.11    0.04
0.539000    0.09    0.11    0.03
0.540000    0.09    0.11    0.03
0.541000    0.09    0.10    0.03
0.542000    0.09    0.09    0.03
0.543000    0.08    0.09    0.02
0.544000    0.07    0.08    0.03
0.545000    0.07    0.08    0.02
0.546000    0.08    0.08    0.02
0.547000    0.08    0.08    0.02
0.548000    0.08    0.09    0.02
0.549000    0.09    0.08    0.02
0.550000    0.09    0.09    0.02
0.551000    0.09    0.09    0.02
0.552000    0.09    0.09    0.01
0.553000    0.10    0.09    0.01
0.554000    0.10    0.09    0.01
0.555000    0.11    0.11    0.01
0.556000    0.12    0.11    0.01
0.557000    0.12    0.12    0.01
0.558000    0.12    0.11    0.01
0.559000    0.11    0.11    0.01
0.560000    0.10    0.10    0.01
0.561000    0.08    0.08    0.01
0.562000    0.07    0.07    0.02
0.563000    0.06    0.06    0.01
0.564000    0.05    0.05    0.01
0.565000    0.05    0.05    0.01
0.566000    0.07    0.07    0.01
0.567000    0.09    0.09    0.01
0.568000    0.11    0.10    0.01
0.569000    0.12    0.11    0.01
0.570000    0.12    0.12    0.00
0.571000    0.12    0.12    0.01
0.572000    0.13    0.13    0.01
0.573000    0.14    0.13    0.00
0.574000    0.15    0.13    0.01
0.575000    0.15    0.13    0.01
0.576000    0.15    0.14    0.01
0.577000    0.14    0.14    0.02
0.578000    0.13    0.14    0.02
0.579000    0.13    0.14    0.02
0.580000    0.14    0.14    0.01
0.581000    0.14    0.13    0.01
0.582000    0.14    0.13    0.01
0.583000    0.13    0.13    0.01
0.584000    0.13    0.13    0.01
0.585000    0.12    0.13    0.02
0.586000    0.13    0.13    0.02
0.587000    0.13    0.13    0.02
0.588000    0.13    0.13    0.02
0.589000    0.14    0.13    0.01
0.590000    0.15    0.15    0.01
0.591000    0.16    0.16    0.01
0.592000    0.16    0.16    0.01
0.593000    0.17    0.17    0.01
0.594000    0.18    0.17    0.01
0.595000    0.18    0.17    0.01
0.596000    0.17    0.17    0.01
0.597000    0.16    0.16    0.01
0.598000    0.15    0.15    0.01
0.599000    0.15    0.15    0.02
0.600000    0.14    0.15    0.02
0.601000    0.14    0.15    0.02
0.602000    0.14    0.15    0.02
0.603000    0.13    0.14    0.02
0.604000    0.13    0.14    0.02
0.605000    0.13    0.14    0.01
0.606000    0.13    0.14    0.02
0.607000    0.14    0.14    0.02
0.608000    0.14    0.15    0.02
0.609000    0.14    0.15    0.02
0.610000    0.14    0.15    0.02
0.611000    0.15    0.16    0.02
0.612000    0.17    0.17    0.02
0.613000    0.18    0.18    0.02
0.614000    0.17    0.18    0.02
0.615000    0.16    0.17    0.02
0.616000    0.17    0.17    0.02
0.617000    0.17    0.17    0.02
0.618000    0.16    0.17    0.03
